node	label	parent	branch.length	CI_date	CI_height	date	gisaid_epi_isl	strain	date_str	region	country	division	country_exposure	nextstrain_clade	pangolin_lineage	originating_lab	submitting_lab	authors	tree_pangolin_lineage	travel_context	similarity_context	focal_sequence	is_visited	China_loc_weight	Switzerland_loc_weight	United Kingdom_loc_weight	Czech Republic_loc_weight
11	EPI_ISL_603360|2020-09-29	15	0.28882	NA	NA	2020-09-29	EPI_ISL_603360	Switzerland/BE-ETHZ-300393/2020	2020-09-29	Europe	Switzerland	Bern	Switzerland	20A	B.1.416.1	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.416.1	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA
12	EPI_ISL_406798|2019-12-26	13	0.0418055	NA	NA	2019-12-26	EPI_ISL_406798	Wuhan/WH01/2019	2019-12-26	Asia	China	Hubei	China	19A	B	General Hospital of Central Theater Command of People's Liberation Army of China	BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China	Weijun Chen et al	B	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA
13	NA	13	NA	c("2019-11-14", "2019-12-26")	c(0.764384, 0.878685)	2019-12-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA
14	NA	13	0.0418055	c("2019-12-15", "2019-12-26")	c(0.764384, 0.793887)	2019-12-26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA
15	NA	14	0.470085	c("2020-04-06", "2020-08-04")	c(0.157645, 0.487508)	2020-06-16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	0	1	0	0
16	NA	15	0.0980764	c("2020-06-14", "2020-08-19")	c(0.117808, 0.298274)	2020-07-21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	0	1	0	0
17	NA	16	0.0452107	c("2020-07-10", "2020-08-28")	c(0.0941864, 0.228225)	2020-08-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA
18	NA	17	0.043839	c("2020-07-30", "2020-09-16")	c(0.0410959, 0.171252)	2020-08-23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA
19	NA	18	0.0104998	c("2020-08-13", "2020-09-16")	c(0.0410959, 0.134266)	2020-08-27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA
20	NA	16	0.130469	c("2020-08-24", "2020-09-07")	c(0.0657534, 0.104674)	2020-09-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	0	1	0	0
